2026-05-09 13:16:24,918 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127770: 90:25:020103:8095 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:26,528 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53840604: 90:25:020103:9278 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:16:27,115 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55132458: 90:25:020103:9281 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:27,682 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55132254: 90:25:020103:9282 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:16:28,341 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53830377: 90:25:020103:9283 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:16:28,914 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55128366: 90:25:020103:9285 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:29,583 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55132533: 90:25:020103:9287 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:30,128 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55128312: 90:25:020103:9288 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:30,718 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55132598: 90:25:020103:9290 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:31,385 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55132717: 90:25:020103:9291 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:31,935 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55132777: 90:25:020103:9293 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:32,513 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55133222: 90:25:020103:9294 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:33,171 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55133139: 90:25:020103:9295 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:33,768 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55132852: 90:25:020103:9296 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:34,338 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55133556: 90:25:020103:9298 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:34,991 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55133313: 90:25:020103:9300 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:35,544 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55133785: 90:25:020103:9303 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:36,222 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55128251: 90:25:020103:9308 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:36,795 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55133881: 90:25:020103:9302 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:37,467 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53832281: 90:25:020103:1013 (building), прав: 3, ограничений объекта: 0
2026-05-09 13:16:47,247 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53834711: 90:25:020103:1113 (building), прав: 2, ограничений объекта: 0
